1532.4407	48
1532.5392	48
1532.6378	43
1532.7363	25
1532.835	17
1532.9335	-2
1533.032	25
1533.1305	20
1533.2291	11
1533.3276	39
1533.4261	3
1533.5247	30
1533.6232	34
1533.7217	17
1533.8202	31
1533.9187	37
1534.0171	15
1534.1156	27
1534.2141	-4
1534.3126	8
1534.411	27
1534.5095	17
1534.6079	21
1534.7064	13
1534.8048	16
1534.9033	28
1535.0017	8
1535.1002	9
1535.1986	16
1535.297	3
1535.3954	24
1535.4939	26
1535.5923	24
1535.6907	10
1535.7891	30
1535.8875	-6
1535.9858	-5
1536.0842	10
1536.1826	26
1536.2809	12
1536.3793	14
1536.4777	26
1536.576	31
1536.6743	30
1536.7727	14
1536.871	6
1536.9694	29
1537.0676	11
1537.166	37
1537.2643	11
1537.3627	15
1537.4609	30
1537.5592	12
1537.6575	28
1537.7557	22
1537.8541	17
1537.9524	10
1538.0507	28
1538.1489	9
1538.2472	25
1538.3455	28
1538.4436	16
1538.5419	18
1538.6401	24
1538.7384	38
1538.8365	25
1538.9348	3
1539.0331	34
1539.1312	14
1539.2295	6
1539.3276	32
1539.4259	14
1539.524	48
1539.6222	24
1539.7205	26
1539.8186	15
1539.9167	16
1540.0149	33
1540.113	12
1540.2112	16
1540.3093	17
1540.4075	24
1540.5056	10
1540.6038	9
1540.7019	10
1540.8	16
1540.8982	52
1540.9962	12
1541.0944	38
1541.1924	31
1541.2905	33
1541.3887	64
1541.4867	23
1541.5848	28
1541.6829	15
1541.7809	34
1541.879	44
1541.9771	29
1542.0751	25
1542.1731	61
1542.2711	33
1542.3691	34
1542.4672	26
1542.5652	32
1542.6632	44
1542.7612	38
1542.8593	27
1542.9573	49
1543.0553	33
1543.1533	52
1543.2512	14
1543.3492	26
1543.4471	30
1543.5452	18
1543.6431	25
1543.7411	28
1543.839	36
1543.937	31
1544.0349	23
1544.1328	14
1544.2308	21
1544.3287	7
1544.4266	29
1544.5245	23
1544.6224	24
1544.7203	16
1544.8182	2
1544.9161	45
1545.014	33
1545.1119	31
1545.2097	34
1545.3076	58
1545.4055	29
1545.5033	51
1545.6012	60
1545.6991	34
1545.7969	72
1545.8948	52
1545.9926	68
1546.0903	87
1546.1882	71
1546.286	61
1546.3838	88
1546.4816	45
1546.5795	62
1546.6772	13
1546.775	39
1546.8728	51
1546.9706	6
1547.0684	33
1547.1661	52
1547.2638	45
1547.3616	73
1547.4594	52
1547.5571	40
1547.6548	33
1547.7526	53
1547.8502	16
1547.948	42
1548.0457	90
1548.1434	53
1548.2411	29
1548.3387	27
1548.4365	43
1548.5342	33
1548.6318	58
1548.7295	50
1548.8271	49
1548.9249	44
1549.0226	29
1549.1201	43
1549.2178	53
1549.3154	31
1549.4131	43
1549.5107	42
1549.6084	60
1549.7059	27
1549.8036	67
1549.9012	50
1549.9988	54
1550.0964	66
1550.194	56
1550.2915	55
1550.3892	44
1550.4867	52
1550.5842	34
1550.6819	43
1550.7794	34
1550.877	44
1550.9745	36
1551.072	71
1551.1696	64
1551.2671	36
1551.3646	45
1551.4622	63
1551.5597	59
1551.6571	52
1551.7546	58
1551.8522	53
1551.9497	32
1552.0471	54
1552.1447	85
1552.2421	77
1552.3396	72
1552.437	137
1552.5344	242
1552.632	246
1552.7294	202
1552.8268	127
1552.9242	87
1553.0216	81
1553.1191	53
1553.2166	50
1553.314	65
1553.4114	47
1553.5087	50
1553.6061	17
1553.7035	47
1553.8009	39
1553.8983	58
1553.9956	57
1554.093	58
1554.1903	40
1554.2877	50
1554.385	28
1554.4824	28
1554.5797	39
1554.6771	50
1554.7744	49
1554.8717	68
1554.969	49
1555.0663	50
1555.1636	57
1555.261	46
1555.3583	31
1555.4556	48
1555.5527	34
1555.65	33
1555.7473	38
1555.8446	24
1555.9419	38
1556.0391	9
1556.1364	38
1556.2336	35
1556.3308	42
1556.4281	56
1556.5253	40
1556.6224	45
1556.7197	57
1556.8169	48
1556.9141	33
1557.0114	67
1557.1085	95
1557.2057	178
1557.3029	432
1557.4	510
1557.4972	376
1557.5944	232
1557.6915	116
1557.7887	69
1557.8857	70
1557.9829	48
1558.0801	24
1558.1771	22
1558.2743	21
1558.3715	28
1558.4685	-7
1558.5657	18
1558.6627	33
